R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Pound-for-Pound_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,Winner_Blue,Winner_Red,better_rank_Blue,better_rank_Red,better_rank_neither
Thiago Santos,Johnny Walker,0.6,0.43478260869565216,66.66666666666666,130.0,02-10-2021,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,5,0,1,0,3.42,0.59,0.7,0.24,1.0,4,2,11,0,0,0,1,4,0,0,5,Orthodox,198.12,208.28,205,3,0,0,3.95,0.48,0.1,0.61,0.36,4,8,43,1,0,0,2,11,0,0,13,Orthodox,187.96,193.04,205,37,29,-3,1,0,-8,-6,-32,-1,-7,0,10.159999999999997,15.240000000000007,-8,-0.5300000000000002,0.6,-0.37,1,1,10.0,5.0,,,Red,U-DEC,,5.0,5:00,1500.0,0.1111111111111111,0.1,0.047619047619047616,0.058823529411764705,0.5238095238095238,0.36363636363636365,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Alex Oliveira,Niko Price,0.37037037037037035,0.6666666666666666,170.0,50.0,02-10-2021,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,2,0,0,5.16,0.42,0.8,0.79,0.22,2,5,24,0,0,0,0,4,2,0,6,Orthodox,182.88,193.04,170,2,0,0,2.97,0.51,0.5,2.27,0.37,4,8,44,0,0,1,3,4,3,0,11,Orthodox,180.34,193.04,170,33,32,0,0,-2,-5,-3,-20,0,0,-1,2.539999999999992,0.0,-1,2.19,0.3,-1.48,1,1,,,,,neither,U-DEC,,3.0,5:00,900.0,0.18181818181818182,0.2222222222222222,0.125,0.08333333333333333,0.15384615384615385,0.45454545454545453,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Misha Cirkunov,Krzysztof Jotko,0.47619047619047616,0.5652173913043478,110.0,76.92307692307693,02-10-2021,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,2.92,0.41,0.1,1.15,0.34,5,5,38,0,0,2,6,1,0,0,9,Southpaw,185.42,195.58,185,1,0,0,3.77,0.49,1.7,4.48,0.44,4,4,13,0,0,0,0,1,5,0,6,Orthodox,190.5,195.58,205,34,32,0,0,1,3,1,25,0,0,-5,-5.079999999999984,0.0,-2,-0.8500000000000001,-1.6,-3.3300000000000005,1,1,,,,,neither,S-DEC,,3.0,5:00,900.0,0.15384615384615385,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.14285714285714285,0.3508771929824561,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Alexander Hernandez,Mike Breeden,0.8709677419354839,0.17391304347826086,14.814814814814811,475.0,02-10-2021,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,4.04,0.34,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,1,0,0,3.79,0.36,0.0,1.57,0.35,2,3,15,0,0,0,2,2,0,0,4,Orthodox,175.26,182.88,155,29,32,0,0,-2,-4,-2,-12,0,-2,0,2.5400000000000205,-5.079999999999984,3,0.25,0.0,-1.57,1,1,,,,,neither,KO/TKO,Punch,1.0,1:20,80.0,0.36363636363636365,0.1,0.16666666666666666,0.027777777777777776,0.47619047619047616,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Joe Solecki,Jared Gordon,0.574468085106383,0.46511627906976744,74.07407407407408,115.0,02-10-2021,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,2,0,5.22,0.56,0.0,2.54,0.39,2,3,19,0,0,0,4,1,0,0,5,Orthodox,175.26,172.72,145,0,4,0,2.64,0.62,0.6,2.85,0.52,4,0,8,0,0,0,2,0,2,0,4,Orthodox,175.26,177.8,155,28,33,0,-2,-2,1,3,11,0,1,-2,0.0,-5.0800000000000125,5,2.58,-0.6,-0.31,1,1,,,,,neither,S-DEC,,3.0,5:00,900.0,0.37735849056603776,0.3333333333333333,0.2,0.07692307692307693,0.1,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Antonina Shevchenko,Casey O'Neill,0.31746031746031744,0.726027397260274,215.0,37.735849056603776,02-10-2021,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,5.48,0.56,1.4,3.83,0.5,2,0,5,0,0,0,0,1,1,0,2,Orthodox,167.64,175.26,125,1,0,0,3.89,0.56,0.5,0.51,0.5,2,3,17,0,0,0,1,2,1,0,4,Southpaw,172.72,170.18,125,36,23,-1,2,0,-2,-3,-12,0,-1,0,-5.079999999999984,5.079999999999984,-13,1.5900000000000003,0.8999999999999999,3.3200000000000003,1,1,,,,,neither,KO/TKO,Punches,2.0,4:47,587.0,0.25,0.3333333333333333,0.058823529411764705,0.23255813953488372,0.09090909090909091,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Bethe Correia,Karol Rosa,0.16666666666666666,0.8780487804878049,500.0,13.88888888888889,02-10-2021,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,3,0,7.88,0.54,0.0,1.5,0.5,3,0,9,0,0,1,2,0,0,0,3,Orthodox,165.1,170.18,135,1,0,1,4.37,0.43,0.0,0.39,0.18,3,5,30,1,0,2,2,1,0,0,5,Orthodox,165.1,162.56,135,38,26,-1,3,0,-2,-5,-21,-1,-1,0,0.0,7.620000000000003,-12,3.51,0.0,1.11,1,1,15.0,,,,Blue,U-DEC,,3.0,5:00,900.0,0.125,0.6666666666666666,0.038461538461538464,0.14285714285714285,0.058823529411764705,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Devonte Smith,Jamie Mullarkey,0.6078431372549019,0.425531914893617,64.51612903225806,135.0,02-10-2021,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,3.03,0.4,0.4,3.5,0.32,1,2,7,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,155,0,1,0,5.1,0.52,0.5,0.53,1.0,3,1,6,0,0,0,0,4,0,0,4,Orthodox,175.26,193.04,155,28,27,0,0,-2,-3,1,1,0,-3,0,7.620000000000003,-5.079999999999984,-1,-2.07,-0.0999999999999999,2.97,1,1,,,,,neither,KO/TKO,Punches,2.0,2:51,471.0,0.23255813953488372,0.18181818181818182,0.047619047619047616,0.1,0.4166666666666667,0.23255813953488372,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Douglas Silva de Andrade,Gaetano Pirrello,0.7368421052631579,0.3076923076923077,35.714285714285715,225.0,02-10-2021,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,0.99,0.55,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,1,0,0,3.79,0.38,0.0,0.69,0.5,2,4,22,0,0,0,3,1,0,0,4,Orthodox,170.18,172.72,145,36,29,0,0,-2,-4,-3,-20,0,-1,0,0.0,-7.620000000000003,-7,-2.8,0.0,-0.69,1,1,,,,,neither,KO/TKO,Punch,1.0,2:04,124.0,0.37735849056603776,0.18181818181818182,0.06666666666666667,0.047619047619047616,0.4,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Stephanie Egger,Shanna Young,0.6078431372549019,0.425531914893617,64.51612903225806,135.0,02-10-2021,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,2,0,0,3.04,0.53,1.0,0.0,0.0,0,2,5,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,1,0,0,1.74,0.52,0.0,2.01,0.3,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,33,30,1,0,0,0,1,2,0,0,0,2.539999999999992,-7.620000000000003,-3,1.3,1.0,-2.01,1,1,,,,,neither,KO/TKO,Elbow,2.0,2:22,442.0,0.4166666666666667,0.3076923076923077,0.18181818181818182,0.1,0.1111111111111111,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
